"Table with row headers in column A and column headers in rows 4 through 6, 39 through 41, 73 through 75, 108 through 110, 142 through 144, 177 through 179, 211 through 213, 246 through 248, 280 through 282, and 315 through 317",,,,,,,,,,,,,,,
2022,"87,220",57.7,65.9,60.3,67.7,67.8,69.7,55.1,59.8,37.8,60.7,38.4,58.1,56.1,59.3
2020,"86,429",61.6,70.1,64.2,71.4,72.0,74.0,61.3,66.9,38.0,63.3,41.3,60.2,58.8,64.2
2018,"85,554",54.6,62.6,57.0,63.9,65.0,66.7,57.0,61.8,30.0,50.0,34.0,52.0,52.2,57.0
2016,"83,698",58.1,67.0,60.1,68.0,68.5,70.4,62.0,67.3,32.9,55.1,35.2,56.5,55.1,61.1
2014,"81,886",52.7,60.5,54.7,61.6,62.2,63.8,56.4,61.2,27.2,44.7,30.7,49.6,49.9,55.5
2012,"80,770",59.3,68.7,60.6,69.0,69.0,71.0,65.9,72.7,32.1,55.5,34.2,59.1,56.4,62.1
2010,"81,101",53.5,61.6,55.1,62.4,62.4,64.2,56.0,61.7,28.9,48.3,29.9,51.9,51.0,56.1
2008,"81,701",59.0,68.2,60.4,68.7,68.4,70.5,63.7,69.5,31.7,55.3,32.3,58.3,56.0,62.0
2006,"82,002",55.0,63.8,57.0,65.2,65.0,67.0,56.4,61.4,27.1,46.2,27.0,52.2,52.1,57.8
2004,"82,133",60.1,69.3,62.0,70.6,70.2,72.4,62.2,68.2,28.9,48.7,28.8,56.7,57.6,62.5
2002,"82,228",55.4,63.2,57.4,64.3,63.8,65.9,55.8,60.9,25.6,47.3,28.9,52.0,52.8,57.9
2000,"81,780",59.6,N,61.2,N,66.8,N,62.0,N,26.7,N,31.1,N,57.3,61.8
1998,"82,993",57.7,N,59.4,N,64.3,N,59.4,N,23.2,N,29.7,N,55.5,59.9
1996,"83,393",61.9,N,63.6,N,68.5,N,61.4,N,28.5,N,31.8,N,59.6,64.1
1994,"83,006",57.9,N,59.9,N,64.0,N,55.4,N,24.4,N,28.4,N,55.9,59.7
1992,"81,319",64.8,N,66.8,N,N,N,62.0,N,N,N,32.0,N,62.6,67.0
1990,"80,541",58.4,N,59.9,N,N,N,57.1,N,N,N,30.4,N,56.4,60.3
1988,"77,864",63.0,N,64.4,N,N,N,62.1,N,N,N,33.2,N,60.6,65.4
1986,"74,927",61.1,N,61.9,N,N,N,64.0,N,N,N,34.4,N,59.4,62.8
1984,"71,023",66.6,N,68.0,N,N,N,66.7,N,N,N,38.4,N,64.6,68.6
1982,"66,882",61.5,N,62.9,N,N,N,59.4,N,N,N,33.0,N,60.3,62.6
1980,"61,285",65.6,N,67.0,N,N,N,61.0,N,N,N,36.0,N,64.3,66.8
1978,"57,536",60.2,N,61.5,N,N,N,56.9,N,N,N,32.7,N,59.5,60.9
1976,"54,302",65.5,N,67.0,N,N,N,59.5,N,N,N,38.4,N,64.8,66.1
1974,"51,663",59.9,N,61.0,N,N,N,58.3,N,N,N,37.2,N,58.9,60.8
1972,"49,173",71.3,N,72.1,N,N,N,68.7,N,N,N,46.0,N,71.2,71.4
1970,"47,056",65.0,N,65.9,N,N,N,60.9,N,N,N,N,N,65.3,64.8
1968,"46,103",72.4,N,73.3,N,N,N,68.7,N,N,N,N,N,73.0,71.9
1966,"45,061",67.6,N,68.7,N,N,N,61.9,N,N,N,N,N,68.1,67.3
Year,Total voting-age population,Total percent,,Percent by demographic,,,,,,,,,,,
,,,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (any race),,Total population,
,,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Male,Female
"45 to 64 Years, Percent Voted",,,,,,,,,,,,,,,
2024,"81,204",63.2,70.0,64.8,71.2,72.7,73.8,62.7,67.4,48.3,61.5,35.6,56.2,61.7,64.7
2022,"82,023",53.2,58.3,55.3,60.1,61.6,62.6,51.1,54.1,35.0,44.2,29.7,45.5,52.5,54.0
2020,"81,912",65.5,71.0,66.9,71.9,72.7,73.8,65.8,69.7,49.5,62.8,40.9,60.3,63.9,67.0
2018,"83,277",55.0,59.5,56.6,60.5,61.3,62.2,56.2,59.3,35.7,45.5,32.3,47.7,53.7,56.3
2016,"83,799",61.7,66.6,63.4,67.8,68.4,69.6,62.1,65.6,39.9,52.5,36.7,54.5,59.9,63.3
2014,"82,772",46.0,49.6,47.6,50.8,51.5,52.3,45.8,48.4,25.3,33.1,25.0,37.7,45.0,47.0
2012,"82,087",63.4,67.9,64.3,68.2,68.5,69.5,68.9,72.3,36.3,50.5,37.6,55.6,61.7,65.0
2010,"80,700",51.1,54.4,52.6,55.5,56.2,57.0,50.4,52.7,27.2,35.6,27.3,40.2,50.7,51.5
2008,"78,078",65.0,69.2,66.6,70.2,70.1,71.2,65.5,68.7,38.8,51.0,39.5,58.1,63.0,66.9
2006,"75,006",54.3,57.6,56.6,59.5,59.9,60.9,48.3,50.4,29.0,38.6,29.1,42.5,53.4,55.1
2004,"71,014",66.6,70.4,68.6,72.0,72.0,73.2,62.6,65.3,38.3,51.2,38.5,56.2,65.3,67.9
2002,"66,924",53.1,56.1,54.8,57.4,57.5,58.5,50.0,52.5,29.7,41.6,28.7,40.9,52.6,53.5
2000,"61,352",64.1,N,65.6,N,68.4,N,62.9,N,32.0,N,38.3,N,62.7,65.3
1998,"57,436",53.6,N,54.7,N,57.0,N,52.7,N,29.8,N,30.7,N,53.5,53.6
1996,"53,721",64.4,N,66.1,N,68.6,N,61.6,N,32.1,N,38.3,N,63.7,65.1
1994,"50,934",56.7,N,58.4,N,60.6,N,51.6,N,31.5,N,29.9,N,56.8,56.6
1992,"49,147",70.0,N,71.8,N,N,N,64.9,N,N,N,40.4,N,69.8,70.2
1990,"46,871",55.8,N,57.4,N,N,N,49.4,N,N,N,28.7,N,55.9,55.7
1988,"45,862",67.9,N,69.2,N,N,N,64.8,N,N,N,39.1,N,68.1,67.7
1986,"44,826",58.7,N,59.7,N,N,N,56.6,N,N,N,38.3,N,58.9,58.5
1984,"44,307",69.8,N,71.0,N,N,N,66.2,N,N,N,44.1,N,69.8,69.8
1982,"44,180",62.2,N,63.8,N,N,N,54.2,N,N,N,39.9,N,62.9,61.6
1980,"43,569",69.3,N,70.7,N,N,N,61.2,N,N,N,42.7,N,69.8,68.8
1978,"43,431",58.5,N,59.9,N,N,N,48.4,N,N,N,38.5,N,59.8,57.4
1976,"43,293",68.7,N,69.9,N,N,N,62.3,N,N,N,40.3,N,69.7,67.9
1974,"42,961",56.9,N,58.3,N,N,N,45.9,N,N,N,34.2,N,59.1,55.0
1972,"42,344",70.8,N,71.9,N,N,N,61.9,N,N,N,43.5,N,72.2,69.6
1970,"41,477",64.2,N,65.4,N,N,N,53.3,N,N,N,N,N,66.3,62.3
1968,"40,362",74.9,N,76.1,N,N,N,64.5,N,N,N,N,N,76.6,73.3
1966,"39,171",64.5,N,66.2,N,N,N,48.4,N,N,N,N,N,66.9,62.2
1964,"38,121",75.9,N,77.2,N,N,N,64.1,N,N,N,N,N,78.5,73.5
Year,Total voting-age population,Total percent,,Percent by demographic,,,,,,,,,,,
,,,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (any race),,Total population,
,,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Male,Female
"45 to 64 Years, Percent Registered",,,,,,,,,,,,,,,
2024,"81,204",69.8,77.2,71.0,78.0,78.9,80.1,71.1,76.4,54.3,69.2,42.0,66.2,68.4,71.1
2022,"82,023",67.1,73.4,68.6,74.6,75.1,76.3,66.5,70.4,51.6,65.1,42.0,64.2,66.0,68.1
2020,"81,912",69.9,75.7,71.3,76.7,77.2,78.3,70.0,74.1,52.0,65.9,45.0,66.3,68.6,71.1
2018,"83,277",66.1,71.4,67.8,72.5,73.1,74.1,67.2,70.9,44.9,57.3,40.6,60.0,64.7,67.4
2016,"83,799",68.5,74.0,70.1,75.0,75.3,76.6,70.0,74.0,45.1,59.4,42.2,62.7,67.0,69.9
2014,"82,772",65.4,70.4,66.9,71.3,71.4,72.6,66.3,70.0,43.5,56.8,40.1,60.5,63.4,67.2
2012,"82,087",70.4,75.4,71.6,75.9,75.9,77.0,73.9,77.6,43.1,60.0,43.8,64.6,68.8,71.9
2010,"80,700",66.3,70.5,67.9,71.7,71.9,72.9,65.5,68.6,40.3,52.7,39.2,57.8,64.9,67.6
2008,"78,078",70.4,74.9,72.1,76.0,75.7,76.9,68.9,72.3,44.9,59.0,44.4,65.3,68.6,72.0
2006,"75,006",69.6,73.7,71.8,75.6,75.5,76.8,64.3,67.1,41.1,54.7,41.6,60.7,68.2,70.9
2004,"71,014",72.7,76.9,74.6,78.3,78.1,79.3,69.6,72.6,43.4,58.0,44.4,64.8,71.6,73.8
2002,"66,924",69.4,73.4,71.3,74.6,74.2,75.5,66.9,70.1,41.1,57.6,43.6,62.1,68.4,70.3
2000,"61,352",71.2,N,72.7,N,75.5,N,70.9,N,38.1,N,45.1,N,69.8,72.6
1998,"57,436",71.1,N,72.6,N,75.3,N,69.5,N,40.4,N,44.3,N,70.4,71.8
1996,"53,721",73.5,N,75.1,N,77.8,N,71.1,N,40.0,N,45.2,N,72.6,74.4
1994,"50,934",71.7,N,73.3,N,75.8,N,69.8,N,37.9,N,42.4,N,70.9,72.5
1992,"49,147",75.3,N,76.9,N,N,N,72.4,N,N,N,45.9,N,74.9,75.7
1990,"46,871",71.4,N,72.9,N,N,N,68.9,N,N,N,41.3,N,71.2,71.6
1988,"45,862",75.5,N,76.7,N,N,N,74.6,N,N,N,45.7,N,75.7,75.3
1986,"44,826",74.8,N,75.8,N,N,N,74.5,N,N,N,49.3,N,74.5,75.1
1984,"44,307",76.6,N,77.8,N,N,N,73.7,N,N,N,51.8,N,76.6,76.6
1982,"44,180",75.6,N,77.1,N,N,N,69.8,N,N,N,50.5,N,75.8,75.5
1980,"43,569",75.8,N,77.0,N,N,N,69.4,N,N,N,50.6,N,76.3,75.3
1978,"43,431",74.3,N,75.2,N,N,N,69.2,N,N,N,46.6,N,75.0,73.7
1976,"43,293",75.5,N,76.4,N,N,N,70.6,N,N,N,46.4,N,76.1,74.9
1974,"42,961",73.6,N,74.6,N,N,N,67.2,N,N,N,46.3,N,74.7,72.7
1972,"42,344",79.7,N,80.5,N,N,N,74.2,N,N,N,50.3,N,80.4,79.1
1970,"41,477",77.5,N,78.3,N,N,N,71.2,N,N,N,N,N,78.9,76.3
1968,"40,362",81.1,N,82.1,N,N,N,72.1,N,N,N,N,N,82.4,79.8
1966,"39,171",78.9,N,80.2,N,N,N,67.8,N,N,N,N,N,80.9,77.1
Year,Total voting-age population,Total percent,,Percent by demographic,,,,,,,,,,,
,,,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (any race),,Total population,
,,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Male,Female
"65 Years and Over, Percent Voted",,,,,,,,,,,,,,,
2024,"60,408",71.7,74.7,73.9,76.2,76.8,77.5,68.6,71.5,46.0,57.1,50.4,62.1,72.4,71.2
2022,"57,420",64.6,66.8,66.7,68.6,69.4,70.0,61.8,63.7,37.2,43.9,42.8,52.6,66.2,63.2
2020,"55,273",71.9,74.5,73.9,76.0,76.3,77.1,68.2,70.4,49.7,59.1,50.5,63.2,72.9,71.0
2018,"51,925",63.8,66.1,66.0,67.9,68.2,68.9,58.4,60.5,39.0,45.7,44.4,55.7,65.4,62.5
2016,"48,684",68.4,70.9,70.2,72.2,72.6,73.4,66.6,68.5,43.9,52.6,45.6,56.7,70.1,67.1
2014,"45,558",57.5,59.4,59.0,60.6,61.2,61.8,54.9,56.5,34.3,39.6,36.0,45.5,60.1,55.5
2012,"42,514",69.7,72.0,70.7,72.6,72.6,73.4,73.0,74.7,42.9,53.7,48.6,59.9,71.9,68.0
2010,"38,966",58.9,60.8,60.6,62.2,62.5,63.1,54.5,55.9,30.2,37.3,38.5,47.8,62.0,56.5
2008,"37,458",68.1,70.3,69.8,71.5,71.8,72.6,66.0,68.0,36.6,45.1,45.5,56.0,70.2,66.5
2006,"35,821",60.5,62.5,62.5,64.2,64.5,65.3,50.4,51.8,34.4,44.8,37.5,46.9,64.4,57.5
2004,"34,738",68.9,71.0,70.5,72.2,72.2,73.1,64.1,65.9,38.2,47.7,46.0,57.0,71.9,66.7
2002,"33,892",61.0,62.7,62.7,64.0,64.0,64.8,54.8,56.5,29.0,38.8,41.5,49.1,65.4,57.7
2000,"32,765",67.6,N,68.8,N,70.0,N,64.6,N,38.0,N,50.0,N,71.4,64.8
1998,"32,263",59.5,N,60.5,N,61.6,N,56.2,N,35.4,N,42.0,N,64.6,55.8
1996,"31,888",67.0,N,68.1,N,69.2,N,63.7,N,34.3,N,47.6,N,70.9,64.1
1994,"31,144",61.3,N,62.8,N,63.9,N,51.6,N,33.8,N,37.6,N,66.5,57.6
1992,"30,846",70.1,N,71.5,N,N,N,64.1,N,N,N,39.7,N,74.5,67.0
1990,"29,875",60.3,N,61.7,N,N,N,51.3,N,N,N,40.4,N,66.0,56.2
1988,"28,803",68.8,N,69.8,N,N,N,63.5,N,N,N,45.6,N,73.4,65.6
1986,"27,712",60.9,N,61.9,N,N,N,53.3,N,N,N,36.6,N,66.8,56.7
1984,"26,658",67.7,N,68.7,N,N,N,61.5,N,N,N,40.5,N,71.9,64.8
1982,"25,598",59.9,N,61.1,N,N,N,50.8,N,N,N,29.5,N,65.3,56.2
1980,"24,094",65.1,N,66.0,N,N,N,59.4,N,N,N,36.7,N,70.4,61.3
1978,"23,001",55.9,N,57.2,N,N,N,45.6,N,N,N,24.9,N,62.6,51.2
1976,"22,001",62.2,N,63.2,N,N,N,54.3,N,N,N,29.9,N,68.3,58.0
1974,"20,955",51.4,N,52.8,N,N,N,38.5,N,N,N,28.1,N,58.7,46.2
1972,"20,074",63.5,N,64.8,N,N,N,50.6,N,N,N,26.7,N,70.7,58.4
1970,"19,141",57.0,N,58.6,N,N,N,39.3,N,N,N,N,N,65.4,50.8
1968,"18,468",65.8,N,67.4,N,N,N,49.9,N,N,N,N,N,73.1,60.3
1966,"17,817",56.1,N,57.9,N,N,N,35.3,N,N,N,N,N,64.2,49.8
1964,"17,269",66.3,N,68.1,N,N,N,45.3,N,N,N,N,N,73.7,60.4
Year,Total voting-age population,Total percent,,Percent by demographic,,,,,,,,,,,
,,,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (any race),,Total population,
,,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Total population,Citizen population,Male,Female
"65 Years and Over, Percent Registered",,,,,,,,,,,,,,,
2024,"60,408",77.1,80.3,79.0,81.5,81.6,82.4,75.3,78.4,52.0,64.6,57.9,71.3,77.4,76.8
2022,"57,420",74.7,77.4,76.5,78.6,78.9,79.6,73.5,75.7,50.8,59.8,54.6,67.1,75.3,74.3
2020,"55,273",75.8,78.6,77.8,80.0,80.2,81.0,72.2,74.6,53.3,63.5,54.9,68.7,76.3,75.4
2018,"51,925",73.3,76.0,75.4,77.5,77.8,78.5,67.8,70.4,49.7,58.2,52.0,65.3,73.5,73.2
2016,"48,684",75.3,78.0,77.1,79.4,79.6,80.5,73.5,75.5,49.2,58.9,52.0,64.7,76.3,74.5
2014,"45,558",73.0,75.4,74.5,76.5,76.7,77.4,71.6,73.6,45.1,52.1,51.7,65.3,73.5,72.6
2012,"42,514",76.9,79.4,78.1,80.1,80.0,80.9,78.7,80.5,49.4,61.7,55.3,68.2,78.2,75.9
2010,"38,966",72.5,74.9,74.1,76.0,75.9,76.7,68.9,70.6,44.8,55.2,52.9,65.7,73.6,71.7
2008,"37,458",75.0,77.4,76.9,78.8,78.9,79.7,71.9,74.1,40.0,49.2,52.5,64.6,76.2,74.1
2006,"35,821",75.4,78.0,77.4,79.6,79.4,80.4,67.3,69.3,43.2,56.2,52.6,65.7,77.2,74.2
2004,"34,738",76.9,79.3,78.4,80.4,80.0,81.0,73.7,75.8,43.5,54.3,55.1,68.3,78.5,75.6
2002,"33,892",75.8,78.0,77.3,79.0,78.7,79.7,73.5,75.7,37.2,49.8,54.9,64.9,77.3,74.8
2000,"32,765",76.1,N,77.3,N,78.6,N,74.4,N,42.9,N,56.7,N,78.8,74.1
1998,"32,263",75.4,N,76.4,N,77.6,N,73.6,N,44.1,N,56.5,N,78.5,73.1
1996,"31,888",77.0,N,78.1,N,79.3,N,75.2,N,39.2,N,54.2,N,79.7,75.0
1994,"31,144",76.3,N,77.5,N,78.7,N,72.4,N,40.7,N,50.2,N,79.2,74.3
1992,"30,846",78.0,N,79.1,N,N,N,74.3,N,N,N,47.9,N,81.1,75.7
1990,"29,875",76.5,N,77.7,N,N,N,71.2,N,N,N,53.2,N,79.7,74.2
1988,"28,803",78.4,N,79.2,N,N,N,75.8,N,N,N,51.0,N,81.6,76.1
1986,"27,712",76.9,N,77.9,N,N,N,71.3,N,N,N,47.0,N,80.6,74.3
1984,"26,658",76.9,N,77.7,N,N,N,73.0,N,N,N,46.7,N,80.2,74.7
1982,"25,598",75.2,N,76.3,N,N,N,68.4,N,N,N,40.6,N,78.9,72.6
1980,"24,094",74.6,N,75.4,N,N,N,70.1,N,N,N,44.1,N,78.8,71.6
1978,"23,001",72.8,N,73.7,N,N,N,67.6,N,N,N,33.5,N,77.6,69.5
1976,"22,001",71.4,N,72.5,N,N,N,64.5,N,N,N,36.5,N,76.6,67.8
1974,"20,955",70.2,N,71.2,N,N,N,62.9,N,N,N,37.8,N,75.8,66.2
1972,"20,074",75.6,N,76.5,N,N,N,67.9,N,N,N,34.7,N,81.9,71.1
1970,"19,141",73.7,N,75.0,N,N,N,61.5,N,N,N,N,N,79.8,69.2
1968,"18,468",75.6,N,77.1,N,N,N,62.7,N,N,N,N,N,81.7,71.1
1966,"17,817",73.5,N,75.5,N,N,N,56.2,N,N,N,N,N,79.9,69.2
"""N"" Represents not available.",,,,,,,,,,,,,,,
"1 Prior to 2004, this category was 'Asian and Pacific Islanders', therefore rates are not comparable with prior years.",,,,,,,,,,,,,,,
"Note: Prior to 1972, data are for people 21 to 24 years of age with the exception of those aged 18 to 24 in Georgia and Kentucky, 19 to 24 in Alaska, and 20 to 24 in Hawaii. In 1972, with the passage of the Twenty-sixth Amendment, the minimum voting age was reduced from 21 to 18 for all states.",,,,,,,,,,,,,,,
"Note: Prior to 1996, the CPS did not collect information on citizenship in a uniform way. Estimates for the citizenship population presented in this table prior to 1996 should be interpreted with caution, as they are not directly comparable to estimates from 1996 and after.",,,,,,,,,,,,,,,
"Note: Because of changes in the Current Population Survey race categories beginning in 2003, 2004-2024 data on race are not directly comparable with data from earlier years.",,,,,,,,,,,,,,,
"Note: Federal surveys now give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data for people who reported they were the single race White, people who reported the single race White and not Hispanic, people who reported the single race Black, and people who reported the single race Asian. Use of the single-race populations does not imply that it is the preferred method of presenting or analyzing data.",,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www.census.gov/programs-surveys/cps/technical-documentation/complete.24.html>",,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey Public-Use Data, November 1964-2024.",,,,,,,,,,,,,,,